Date,Close/Last,Volume,Open,High,Low
01/07/2025,$195.49,26487240,$197.11,$201.00,$194.60
01/06/2025,$196.87,29563640,$193.98,$198.2222,$193.85
01/03/2025,$191.79,18596160,$191.37,$193.21,$189.975
01/02/2025,$189.43,20370830,$190.65,$192.00,$187.50
12/31/2024,$189.30,17466920,$191.075,$191.96,$188.51
12/30/2024,$191.24,14264660,$189.80,$192.55,$189.12
12/27/2024,$192.76,18891360,$194.95,$195.32,$190.65
12/26/2024,$195.60,12057210,$195.15,$196.748,$194.375
12/24/2024,$196.11,10403260,$194.84,$196.11,$193.78
12/23/2024,$194.63,25675010,$192.62,$195.10,$190.15
12/20/2024,$191.41,63462930,$185.78,$192.89,$185.22
12/19/2024,$188.51,32265240,$191.625,$193.03,$188.38
12/18/2024,$188.40,34166070,$195.22,$197.00,$187.74
12/17/2024,$195.42,43504030,$197.25,$201.42,$194.98
12/16/2024,$196.66,44934900,$192.87,$199.00,$192.62
12/13/2024,$189.82,25143500,$191.01,$192.73,$189.64
12/12/2024,$191.96,34817490,$195.00,$195.18,$191.71
12/11/2024,$195.40,67894070,$185.31,$195.61,$184.85
12/10/2024,$185.17,54813020,$182.845,$186.36,$181.05
12/09/2024,$175.37,25389630,$173.96,$176.26,$173.65
12/06/2024,$174.71,21462390,$172.03,$175.08,$171.86
12/05/2024,$172.64,21356240,$175.36,$176.06,$172.33
12/04/2024,$174.37,31615140,$171.145,$174.91,$171.06
12/03/2024,$171.34,22248710,$171.49,$172.68,$170.85
12/02/2024,$171.49,23789080,$168.765,$172.075,$168.57
11/29/2024,$168.95,14257240,$168.50,$169.43,$167.16
11/27/2024,$169.23,19266510,$169.00,$169.4832,$168.02
11/26/2024,$169.12,20486720,$167.63,$169.82,$167.58
11/25/2024,$167.65,33135260,$166.09,$168.63,$165.6072
11/22/2024,$164.76,38604590,$165.85,$166.46,$163.90
11/21/2024,$167.63,59734380,$173.90,$174.13,$163.70
11/20/2024,$175.98,18997110,$177.34,$177.675,$173.78
11/19/2024,$178.12,23434930,$173.72,$178.87,$173.56
11/18/2024,$175.30,20206610,$173.42,$175.438,$172.90
